"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1120526168929853441","1120525621220859905","141694851","2019-04-23 03:13:51 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@princeoflegend @budimandjatmiko Beri saya data bahwa masyarakat sumbar menolak PEMBANGUNAN , jangan seenaknya menyimpulkan sendiri, gitu aja ga paham.","","","",""
"1120525582389981186","1120523197986811904","141694851","2019-04-23 03:11:31 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@princeoflegend @budimandjatmiko Kalo cara berpikirnya masih mementingkan golongannya sendiri, selamat anda tidak pantas untuk menjadi pemimpin. Menjadi Pemimpin artinya harus siap mengayomi semuanya.","","","",""
"1120524798570921984","1120523197986811904","141694851","2019-04-23 03:08:24 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@princeoflegend @budimandjatmiko Saya di Jawa Tengah termasuk orang yang tidak mendukung jokowi, tetapi saya tidak menolak pembangunan, karena pembangunan sudah menjadi kewajiban setiap pemimpin, mau bilang saya munafik tidak mendukung jokowi tapi ngarep pembangunan? Hei itu hak setiap warga negara yg byr pajak","","","",""
"1120524074114007042","1120523197986811904","141694851","2019-04-23 03:05:32 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@princeoflegend @budimandjatmiko Menolak pembangunan? Tolong beri saya data bahwa masyarakat sumbar menolak pembangunan, jangan karena mayoritas sumbar tidak mendukung jokowi anda mengasosiasikan bahwa mereka2 menolak pembangunan.","","","",""
"1120521968846086144","1120511034811396096","141694851","2019-04-23 02:57:10 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@princeoflegend @budimandjatmiko Duit yang buat bangun duit rakyat juga, jadu presiden bukan hanya sekedar presiden bagi pendukungnya, tetapi juga presiden yang tidak mendukung, itu namanya pemimpin. Kalo cara berpikirnya kayak kamu negara bisa bubar karena terkotak2an antara yang dukung dan yang tidak.","","","",""
"1120288462324654080","1120284646065917952","965885713223892993","2019-04-22 11:29:18 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AkunTofa Tidak akan berkah lagi orang yang teriak2 kawal suara tapi ga ngirim saksi di setiap TPS di desa maupun saksi rapat pleno di kecamatan, Contohnya PAN.","","","",""
"1120287366466289664","1120286262714195968","2453817235","2019-04-22 11:24:56 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AkunTofa Buka satu persatu kotak suara, ngitung lagi dri awal.
Kalo mau kawal suara tolong dihimbau ke partai anda suruh kirim saksi di setiap TPS, karena di daerah saya mulai dari desa hingga kecamatan kemarin sama sekali ga ada saksi PAN.
Kalo GOBLOK jangan bikin twit.","","","",""
"1120286262714195968","1120218905413206016","965885713223892993","2019-04-22 11:20:33 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AkunTofa Jangan seenak batukmu, mau diulang 1000x pun g bakal ngaruh, karena masalahnya bukan disitu, tapi masalahnya saat perhitungan, saya dan kawan2 Saksi PKS sudah capek2 dri jam 8pgi sampe 3dinihari ikut rapat pleno di kecamatan.","","","",""
"1120283545920913408","1120241754114945024","3895489933","2019-04-22 11:09:45 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@na_dirs Duh premisnya apa konklusinya apa, yaa ampunn seorang @na_dirs yang katanya pengajar di universitas seberang sana kok punya logika berpikir kacau kayak gini, ampunn dah 😭","","","",""
"1120207050993094656","","","2019-04-22 06:05:48 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @sudjiwotedjo: Dia yg salah tapi kamu yg seringkali mesti minta maaf. Itulah dunia pacaran/rumah tangga. Dlm dunia ekonomi, duitmu kuran…","1120189772268310529","186801139","2019-04-22 04:57:08 +0000",""
